ID,Case Number,Date,Primary Type,Location Description,Arrest,Domestic
100000,JC100000,01/31/2017 09:17:00 PM,ROBBERY,PARKING LOT,False,True
100001,JC100001,11/14/2018 09:53:00 AM,BATTERY,SIDEWALK,True,False
100002,JC100002,11/12/2016 09:26:00 AM,ROBBERY,RESIDENCE,False,True
100003,JC100003,02/14/2017 07:05:00 PM,BATTERY,SIDEWALK,True,False
100004,JC100004,02/01/2017 03:12:00 PM,CRIMINAL DAMAGE,SCHOOL,False,False
100005,JC100005,05/08/2017 06:29:00 AM,ASSAULT,STREET,False,True
100006,JC100006,11/11/2019 02:02:00 PM,BATTERY,STREET,True,False
100007,JC100007,04/12/2018 12:18:00 AM,BATTERY,STREET,False,True
100008,JC100008,01/28/2018 07:48:00 AM,MOTOR VEHICLE THEFT,APARTMENT,True,True
100009,JC100009,08/25/2016 05:27:00 AM,ASSAULT,SIDEWALK,False,False
100010,JC100010,03/09/2017 04:46:00 PM,NARCOTICS,SCHOOL,True,True
100011,JC100011,07/03/2016 12:17:00 AM,THEFT,SIDEWALK,True,True
100012,JC100012,12/20/2019 04:26:00 PM,BURGLARY,SIDEWALK,True,True
100013,JC100013,07/02/2015 09:25:00 PM,NARCOTICS,SIDEWALK,False,True
100014,JC100014,04/06/2019 01:58:00 AM,BATTERY,SIDEWALK,False,True
100015,JC100015,10/14/2018 12:27:00 AM,BURGLARY,STREET,True,False
100016,JC100016,02/14/2015 05:17:00 PM,ROBBERY,STREET,False,False
100017,JC100017,07/19/2015 09:00:00 PM,BURGLARY,SIDEWALK,False,True
100018,JC100018,02/06/2015 11:37:00 AM,NARCOTICS,APARTMENT,False,True
100019,JC100019,02/07/2015 10:30:00 AM,CRIMINAL DAMAGE,PARKING LOT,False,False
100020,JC100020,02/20/2018 08:28:00 AM,THEFT,RESIDENCE,True,False
100021,JC100021,08/12/2016 08:08:00 AM,ASSAULT,SIDEWALK,True,False
100022,JC100022,10/15/2018 01:18:00 PM,CRIMINAL DAMAGE,STREET,True,False
100023,JC100023,08/30/2016 03:25:00 PM,BATTERY,SIDEWALK,False,False
100024,JC100024,06/20/2017 02:20:00 AM,ASSAULT,SCHOOL,False,False
100025,JC100025,05/18/2019 02:09:00 AM,ROBBERY,SCHOOL,False,False
100026,JC100026,12/02/2018 12:56:00 AM,ROBBERY,STREET,True,True
100027,JC100027,12/10/2015 09:26:00 AM,MOTOR VEHICLE THEFT,SCHOOL,False,False
100028,JC100028,06/23/2016 10:14:00 AM,NARCOTICS,PARKING LOT,False,True
100029,JC100029,07/14/2018 05:43:00 AM,THEFT,RESIDENCE,True,False
100030,JC100030,01/12/2019 01:42:00 AM,BURGLARY,PARKING LOT,False,False
100031,JC100031,07/12/2016 05:59:00 AM,ROBBERY,SCHOOL,False,True
100032,JC100032,03/08/2017 05:25:00 PM,BATTERY,STREET,True,True
100033,JC100033,06/13/2015 01:00:00 PM,BURGLARY,SCHOOL,False,False
100034,JC100034,05/14/2018 10:58:00 PM,ROBBERY,RESIDENCE,True,True
100035,JC100035,10/03/2017 05:55:00 PM,ROBBERY,SCHOOL,False,False
100036,JC100036,09/13/2017 11:32:00 PM,ASSAULT,STREET,False,False
100037,JC100037,02/15/2016 09:28:00 PM,BURGLARY,APARTMENT,True,False
100038,JC100038,01/13/2018 01:50:00 AM,CRIMINAL DAMAGE,STREET,True,False
100039,JC100039,05/10/2017 10:30:00 AM,THEFT,RESIDENCE,False,False
100040,JC100040,01/12/2016 12:52:00 AM,ROBBERY,STREET,True,True
100041,JC100041,03/27/2017 01:40:00 PM,BURGLARY,PARKING LOT,True,True
100042,JC100042,09/17/2019 09:41:00 PM,CRIMINAL DAMAGE,APARTMENT,True,True
100043,JC100043,10/16/2015 10:21:00 AM,MOTOR VEHICLE THEFT,RESIDENCE,False,True
100044,JC100044,01/06/2017 08:02:00 AM,MOTOR VEHICLE THEFT,SIDEWALK,False,True
100045,JC100045,09/17/2015 04:43:00 AM,ROBBERY,PARKING LOT,True,False
100046,JC100046,11/23/2018 06:22:00 PM,MOTOR VEHICLE THEFT,APARTMENT,True,False
100047,JC100047,06/22/2015 06:28:00 PM,NARCOTICS,SCHOOL,False,True
100048,JC100048,09/23/2015 02:14:00 PM,BATTERY,SCHOOL,False,False
100049,JC100049,08/06/2016 12:29:00 AM,NARCOTICS,SCHOOL,False,True
100050,JC100050,08/16/2019 12:05:00 AM,ASSAULT,APARTMENT,True,True
100051,JC100051,04/13/2018 02:06:00 PM,ASSAULT,STREET,False,True
100052,JC100052,04/29/2016 06:02:00 PM,CRIMINAL DAMAGE,RESIDENCE,False,True
100053,JC100053,05/02/2015 01:44:00 PM,THEFT,SCHOOL,True,True
100054,JC100054,01/29/2016 07:56:00 PM,BATTERY,PARKING LOT,False,False
100055,JC100055,04/14/2019 03:49:00 PM,BURGLARY,STREET,True,True
100056,JC100056,03/23/2017 03:23:00 AM,ASSAULT,PARKING LOT,False,True
100057,JC100057,02/13/2019 11:45:00 AM,CRIMINAL DAMAGE,SIDEWALK,True,True
100058,JC100058,10/25/2019 02:03:00 PM,MOTOR VEHICLE THEFT,RESIDENCE,True,False
100059,JC100059,09/08/2018 07:42:00 AM,NARCOTICS,APARTMENT,False,True
100060,JC100060,05/16/2017 05:33:00 PM,ROBBERY,PARKING LOT,False,True
100061,JC100061,07/07/2015 11:25:00 AM,MOTOR VEHICLE THEFT,SIDEWALK,True,False
100062,JC100062,01/03/2016 11:54:00 PM,ROBBERY,SIDEWALK,True,True
100063,JC100063,08/10/2017 04:22:00 AM,BATTERY,SIDEWALK,False,True
100064,JC100064,12/16/2018 07:07:00 AM,BATTERY,APARTMENT,True,True
100065,JC100065,12/20/2016 02:09:00 AM,NARCOTICS,APARTMENT,True,False
100066,JC100066,05/23/2019 02:56:00 AM,ROBBERY,RESIDENCE,False,True
100067,JC100067,11/18/2017 06:39:00 PM,NARCOTICS,RESIDENCE,True,False
100068,JC100068,06/08/2018 10:50:00 AM,BATTERY,SCHOOL,True,False
100069,JC100069,10/26/2016 12:22:00 PM,NARCOTICS,SIDEWALK,True,False
100070,JC100070,11/12/2017 04:26:00 AM,BURGLARY,RESIDENCE,True,False
100071,JC100071,05/24/2019 07:14:00 AM,BATTERY,SIDEWALK,True,False
100072,JC100072,07/21/2019 10:20:00 AM,BURGLARY,STREET,True,False
100073,JC100073,02/22/2019 09:00:00 PM,BURGLARY,STREET,True,False
100074,JC100074,04/21/2018 10:33:00 PM,MOTOR VEHICLE THEFT,PARKING LOT,True,False
100075,JC100075,01/12/2016 03:19:00 PM,BURGLARY,STREET,True,False
100076,JC100076,06/20/2017 05:50:00 PM,BURGLARY,APARTMENT,False,True
100077,JC100077,09/06/2017 06:19:00 AM,THEFT,RESIDENCE,True,True
100078,JC100078,06/11/2019 03:23:00 AM,THEFT,APARTMENT,False,False
100079,JC100079,08/24/2015 10:06:00 AM,THEFT,APARTMENT,True,True
100080,JC100080,10/03/2018 04:29:00 AM,MOTOR VEHICLE THEFT,SIDEWALK,True,True
100081,JC100081,08/05/2017 04:26:00 AM,BATTERY,STREET,True,True
100082,JC100082,11/05/2016 12:08:00 PM,BATTERY,STREET,False,True
100083,JC100083,05/25/2019 01:55:00 AM,CRIMINAL DAMAGE,SCHOOL,True,False
100084,JC100084,02/11/2017 11:58:00 AM,NARCOTICS,SCHOOL,False,False
100085,JC100085,10/04/2019 03:00:00 PM,MOTOR VEHICLE THEFT,PARKING LOT,False,True
100086,JC100086,07/23/2019 02:19:00 AM,BATTERY,STREET,True,False
100087,JC100087,02/18/2017 03:37:00 PM,CRIMINAL DAMAGE,STREET,False,False
100088,JC100088,10/21/2017 05:09:00 AM,THEFT,RESIDENCE,True,True
100089,JC100089,06/16/2018 06:13:00 PM,ASSAULT,STREET,False,False
100090,JC100090,10/09/2017 11:57:00 AM,ROBBERY,RESIDENCE,False,False
100091,JC100091,05/13/2017 10:55:00 PM,MOTOR VEHICLE THEFT,STREET,False,False
100092,JC100092,08/03/2016 02:48:00 PM,THEFT,STREET,False,False
100093,JC100093,11/24/2018 12:58:00 PM,BATTERY,STREET,True,False
100094,JC100094,09/19/2019 08:57:00 PM,BATTERY,SIDEWALK,False,True
100095,JC100095,08/05/2016 01:56:00 AM,MOTOR VEHICLE THEFT,SCHOOL,True,False
